Herb Name,Immunity,Weight loss,Weight Gain,Teeth and bone Strength,Knee pain/arthritis,Blood detoxification,Infections& wounds,Body Pain,Skin disease,Inactiveness,Gastric&Intestine troubles,Hyperthermia/ Fever,Diabetes,"Cold,cough,throat infections",Vision concerns,Nerve disorder,PCOS,Headache,Respiratory concerns,Kidney & urinary problems,Heart problems,Constipation,Diarrhoea,Liver,Male Reproductive concerns
Sadhakuppai,0,0,0,0,0,8,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Srpagandha root,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarkarai Kolli,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
Siru Thekkku,2,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Sirukurinjaan,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0
Siru Nerunjil,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Siriyaanangai,0,0,0,0,0,0,2,0,10,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Sitharathai,0,0,0,0,9,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Siruthumbai leaves,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0,0,0,0,0,0
Siruseruppadai,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirupeelai,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sirupayaru,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivanaar Vembu,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivakaranthai,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Seeragam,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seenthal kodi,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,8,6,0,0,0,0,0
Sukku,10,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Surathu Nila aavarai,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Surathu Nilaivaagai,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Sembaruthi Flowers,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Sabja seeds,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevviyam,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Aloe Vera,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Thaneervittan Kilangu,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
Thaandri Kaai,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thaalisapathiri leaves,0,0,0,0,0,0,10,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Thippli,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Thiruneetru Pachilai,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Thuthi Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Tulsi Leaves,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Thuthi Seeds,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Thudhuvalai,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0
Thottal Sivungi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0
Devatharu,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Thetran Kottai,0,0,0,0,0,0,0,0,3,0,5,7,0,0,0,0,0,0,0,1,0,0,0,0,1
Nannari,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,8,0,0,6,0,0,0,0,0
Nathai Soori,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Naaval Seeds,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Nayuruvi Leaves,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0
Naval pattai,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naalpamaraathi,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nilavembu ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Nithya kalyani roots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Nithya kalyani leaves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Nilavaagai,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Nilapanai kizhangu,0,0,0,0,0,0,0,0,9,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,2
Neermulli,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0
Neermulli seeds,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Neeli auri leaves,0,0,0,0,0,0,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Nochi leaves,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Nellikai,8,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Parpadagam,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Paal mudhingan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
Parangi pattai,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakarkai,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Badham Pisin,0,6,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0
Pirandai,0,0,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pudhina leaves,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boomi chakkarai kilangu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Poovasaram pattai,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poolangilangu,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poonai kaali vidhai,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ponkorandi root,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Ponnagkanni,0,0,0,0,0,0,0,0,4,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
Manjal karisalaangkanni,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Mara manjal ,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0
Magilam flowers,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
Marutham pattai,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0
Marudhani leaves,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Manathakkali ,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Maavilangapattai,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Maathulai peel,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maasikkaai,1,0,0,0,0,0,4,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Maamparupu,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,9,0,0,0
Milagu,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Mudakkathan,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Musumusukkai leaf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
Murungai Vidhai,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Murungai Poo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Murungai pisin,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Murungai leaves,0,0,0,0,0,8,0,0,0,0,0,7,0,0,6,0,0,6,0,0,0,0,0,0,0
Multhani matti,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mookaratai saaranai,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,6,0
Yaanai nerinjil,0,0,6,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Roja Idhazh ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
Vallarai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Vasambu,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
